
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-Unversioned from 08fffef240461a8334596179f1de462be43ad3e9) on 10-Oct-2023 at 15:20:08.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00    9.166    9.168    9.212    0.189    0.902   -2.234    0.189    0.902   -2.016   -0.423    0.171    2.921    1.033
   0.10    8.871    8.871    8.872    0.015    0.175   -2.529    0.015    0.175   -0.443   -0.039    0.003    3.214    0.222
   0.20    8.922    8.944    8.957   -0.635   -0.476   -2.478   -0.635   -0.476    1.180    1.575    0.302    3.386    0.995
   0.30    8.613    8.619    8.637   -0.319   -0.559   -2.787   -0.319   -0.559    1.557    0.889    0.178    4.091    0.901
   0.40    9.209    9.215    9.302   -0.340   -1.273   -2.191   -0.340   -1.273    2.789    0.746    0.433    3.269    1.460
   0.50    8.699    8.726    8.816   -0.675   -1.257   -2.701   -0.675   -1.257    3.395    1.824    0.849    4.665    1.973
   0.60    7.625    7.631    7.691   -0.298   -0.959   -3.775   -0.298   -0.959    3.620    1.125    0.286    7.630    1.901
   0.70    7.279    7.353    7.390    1.042   -0.736   -4.121    1.042   -0.736    3.033   -4.294   -0.767    9.305    2.657
   0.80    7.761    7.841    7.847    1.119   -0.297   -3.639    1.119   -0.297    1.080   -4.072   -0.332    7.291    2.113
   0.90    7.435    7.590    7.596    1.529   -0.293   -3.965    1.529   -0.293    1.161   -6.063   -0.448    9.074    3.095
   1.00    7.784    7.971    7.974    1.720   -0.210   -3.616    1.720   -0.210    0.760   -6.221   -0.361    8.040    3.139
   1.10    7.718    7.862    7.877    1.495   -0.488   -3.682    1.495   -0.488    1.795   -5.506   -0.729    8.015    2.918
   1.20    7.853    7.925    7.929    1.071   -0.240   -3.547    1.071   -0.240    0.851   -3.797   -0.257    6.894    1.950
   1.30    7.828    7.829    7.831    0.137    0.163   -3.572    0.137    0.163   -0.584   -0.490    0.022    6.402    0.381
   1.40    8.305    8.351    8.351    0.874    0.035   -3.095    0.874    0.035   -0.107   -2.704    0.030    5.171    1.353
   1.50    8.042    8.096    8.100    0.930    0.272   -3.358    0.930    0.272   -0.915   -3.122    0.253    6.106    1.632
   1.60    8.280    8.476    8.477    1.814   -0.125   -3.120    1.814   -0.125    0.389   -5.661   -0.226    6.522    2.840
   1.70    8.737    8.775    8.814    0.815   -0.827   -2.663    0.815   -0.827    2.202   -2.170   -0.674    4.219    1.582
