
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-Unversioned from 08fffef240461a8334596179f1de462be43ad3e9) on 10-Oct-2023 at 13:34:45.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   13.663   13.839   13.859   -2.205    0.728   -1.337   -2.205    0.728   -0.973    2.949   -1.605    3.590    1.748
   0.10   12.795   13.076   13.138   -2.700    1.270   -2.205   -2.700    1.270   -2.801    5.955   -3.429    6.884    3.710
   0.20   12.986   13.141   13.144   -2.013   -0.273   -2.014   -2.013   -0.273    0.549    4.056    0.549    4.093    2.065
   0.30   13.580   13.932   13.976   -3.110   -1.114   -1.420   -3.110   -1.114    1.582    4.416    3.465    6.466    2.916
   0.40   12.574   12.917   13.031   -2.958   -1.720   -2.426   -2.958   -1.720    4.173    7.175    5.088    8.796    4.868
   0.50   12.880   13.067   13.115   -2.200   -1.121   -2.120   -2.200   -1.121    2.377    4.664    2.467    5.296    2.893
   0.60   12.811   12.871   12.901   -1.240   -0.879   -2.189   -1.240   -0.879    1.923    2.713    1.089    3.550    1.750
   0.70   12.678   12.698   12.751   -0.708   -1.155   -2.322   -0.708   -1.155    2.682    1.645    0.818    3.613    1.625
   0.80   12.148   12.153   12.236   -0.359   -1.423   -2.852   -0.359   -1.423    4.058    1.025    0.511    5.144    2.108
   0.90   11.865   11.866   11.889    0.151   -0.730   -3.135    0.151   -0.730    2.288   -0.472   -0.110    5.190    1.169
   1.00   12.331   12.336   12.340    0.365   -0.312   -2.669    0.365   -0.312    0.833   -0.974   -0.114    3.678    0.643
   1.10   12.142   12.145   12.166   -0.300   -0.717   -2.858   -0.300   -0.717    2.049    0.857    0.215    4.387    1.116
   1.20   11.532   11.559   11.604   -0.795   -1.024   -3.468   -0.795   -1.024    3.551    2.756    0.814    6.854    2.284
   1.30   12.091   12.095   12.097   -0.310   -0.208   -2.909   -0.310   -0.208    0.604    0.902    0.064    4.299    0.544
   1.40   12.517   12.519   12.538    0.167   -0.702   -2.483    0.167   -0.702    1.742   -0.415   -0.117    3.342    0.897
   1.50   13.175   13.175   13.187    0.119    0.565   -1.825    0.119    0.565   -1.031   -0.217    0.067    1.832    0.528
   1.60   12.909   12.912   12.918    0.294   -0.405   -2.091    0.294   -0.405    0.847   -0.614   -0.119    2.312    0.526
   1.70   13.714   13.750   13.757    0.984   -0.443   -1.286    0.984   -0.443    0.570   -1.266   -0.437    1.409    0.728
