
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-Unversioned from 08fffef240461a8334596179f1de462be43ad3e9) on 10-Oct-2023 at 13:32:56.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   14.876   15.111   15.132   -2.659   -0.790    1.876   -2.659   -0.790   -1.481   -4.986    2.100    5.605    2.805
   0.10   14.896   15.020   15.024   -1.931   -0.356    1.896   -1.931   -0.356   -0.675   -3.659    0.687    3.723    1.892
   0.20   15.796   15.818   15.818   -0.827    0.136    2.796   -0.827    0.136    0.379   -2.312   -0.112    4.260    1.173
   0.30   15.312   15.339   15.344   -0.915    0.392    2.312   -0.915    0.392    0.906   -2.115   -0.358    3.168    1.164
   0.40   15.358   15.444   15.446   -1.624    0.284    2.358   -1.624    0.284    0.669   -3.829   -0.461    4.139    1.957
   0.50   15.737   15.796   15.797   -1.358    0.166    2.737   -1.358    0.166    0.455   -3.717   -0.226    4.682    1.876
   0.60   15.645   15.715   15.715   -1.490    0.033    2.645   -1.490    0.033    0.087   -3.941   -0.049    4.608    1.971
   0.70   15.014   15.087   15.096   -1.492    0.516    2.014   -1.492    0.516    1.039   -3.004   -0.770    3.273    1.635
   0.80   14.795   14.939   14.941   -2.072    0.254    1.795   -2.072    0.254    0.457   -3.718   -0.527    3.789    1.891
   0.90   15.147   15.364   15.377   -2.571    0.639    2.147   -2.571    0.639    1.371   -5.521   -1.642    5.814    2.960
   1.00   15.447   15.659   15.680   -2.571    0.804    2.447   -2.571    0.804    1.967   -6.290   -2.068    6.621    3.454
   1.10   14.843   15.144   15.145   -3.001   -0.220    1.843   -3.001   -0.220   -0.406   -5.532    0.661    6.226    2.793
   1.20   15.423   15.699   15.725   -2.931   -0.900    2.423   -2.931   -0.900   -2.181   -7.102    2.639    7.636    3.942
   1.30   14.779   15.114   15.114   -3.164    0.041    1.779   -3.164    0.041    0.072   -5.628   -0.128    6.588    2.815
   1.40   14.765   15.189   15.189   -3.564    0.093    1.765   -3.564    0.093    0.164   -6.291   -0.331    7.914    3.151
   1.50   14.663   14.933   14.933   -2.823   -0.093    1.663   -2.823   -0.093   -0.155   -4.696    0.263    5.374    2.353
   1.60   14.249   14.479   14.486   -2.572    0.442    1.249   -2.572    0.442    0.552   -3.211   -1.137    4.184    1.725
   1.70   14.923   15.195   15.215   -2.865    0.778    1.923   -2.865    0.778    1.495   -5.509   -2.228    6.255    3.064
   1.80   15.074   15.228   15.236   -2.156    0.499    2.074   -2.156    0.499    1.035   -4.471   -1.075    4.599    2.357
   1.90   15.229   15.424   15.427   -2.446    0.313    2.229   -2.446    0.313    0.698   -5.452   -0.766    5.525    2.775
   2.00   15.133   15.299   15.307   -2.249    0.477    2.133   -2.249    0.477    1.019   -4.797   -1.074    4.918    2.510
   2.10   15.190   15.318   15.387   -1.979    1.460    2.190   -1.979    1.460    3.196   -4.333   -2.889    5.421    3.055
   2.20   15.245   15.300   15.396   -1.297    1.712    2.245   -1.297    1.712    3.843   -2.911   -2.220    4.826    2.654
   2.30   14.723   14.842   14.907   -1.878    1.386    1.723   -1.878    1.386    2.388   -3.236   -2.604    4.209    2.396
   2.40   14.357   14.394   14.444   -1.042    1.194    1.357   -1.042    1.194    1.620   -1.413   -1.244    2.175    1.242
   2.50   14.611   14.671   14.693   -1.324    0.804    1.611   -1.324    0.804    1.296   -2.133   -1.065    2.498    1.357
   2.60   14.559   14.659   14.661   -1.707   -0.234    1.559   -1.707   -0.234   -0.365   -2.662    0.399    2.700    1.358
   2.70   14.723   14.757   14.757   -1.001   -0.014    1.723   -1.001   -0.014   -0.025   -1.725    0.014    1.986    0.862
   2.80   14.779   14.794   14.794   -0.655   -0.042    1.779   -0.655   -0.042   -0.075   -1.165    0.027    1.798    0.584
   2.90   14.593   14.596   14.629   -0.321   -0.980    1.593   -0.321   -0.980   -1.561   -0.511    0.315    1.800    0.836
   3.00   15.072   15.077   15.107    0.366   -0.965    2.072    0.366   -0.965   -2.000    0.758   -0.353    2.680    1.084
   3.10   15.025   15.029   15.034    0.372   -0.372    2.025    0.372   -0.372   -0.754    0.754   -0.139    2.188    0.538
   3.20   14.359   14.399   14.406    1.063    0.450    1.359    1.063    0.450    0.612    1.445    0.479    1.590    0.820
   3.30   14.045   14.065   14.122    0.748    1.261    1.045    0.748    1.261    1.318    0.782    0.943    1.621    0.900
   3.40   13.811   13.860   13.887    1.163    0.866    0.811    1.163    0.866    0.703    0.943    1.007    1.380    0.774
   3.50   13.966   14.105   14.116    1.979    0.545    0.966    1.979    0.545    0.527    1.911    1.079    2.573    1.128
   3.60   13.804   13.903   13.940    1.657    1.021    0.804    1.657    1.021    0.820    1.332    1.691    2.217    1.152
   3.70   13.609   13.637   13.769    0.874    1.897    0.609    0.874    1.897    1.156    0.533    1.657    2.366    1.045
   3.80   14.342   14.370   14.501    0.902    1.945    1.342    0.902    1.945    2.610    1.210    1.753    3.198    1.685
   3.90   15.004   15.025   15.295    0.783    2.864    2.004    0.783    2.864    5.741    1.569    2.242    6.417    3.180
   4.00   15.186   15.218   15.359    0.988    2.077    2.186    0.988    2.077    4.540    2.159    2.051    5.034    2.715
   4.10   14.235   14.246   14.357    0.553    1.783    1.235    0.553    1.783    2.203    0.683    0.986    2.506    1.254
   4.20   13.797   13.854   13.953    1.257    1.657    0.797    1.257    1.657    1.320    1.001    2.083    2.480    1.331
   4.30   13.809   13.814   13.909    0.372    1.619    0.809    0.372    1.619    1.311    0.301    0.603    1.708    0.737
   4.40   14.413   14.437   14.509    0.846    1.441    1.413    0.846    1.441    2.036    1.195    1.219    2.394    1.328
   4.50   14.260   14.288   14.354    0.889    1.374    1.260    0.889    1.374    1.732    1.121    1.223    2.134    1.199
   4.60   14.640   14.643   14.657    0.282    0.659    1.640    0.282    0.659    1.081    0.463    0.186    1.601    0.595
